Bibliography Number,Article Title and DOI,Study Purpose,Type of Business,Disaster,Built Environment,Timeframe,Time Points Measured,Measurement of Recovery,Data Method,Methodology,Validation
1,Quantifying post-disaster business recovery through Bayesian methods. https://doi.org/10.1080/15732479.2020.1777569,Develop a probabilistic modeling approach to quantify and predict business recovery,"Construction, Manufacturing, Retail",Hurricane,Yes,1 - 2 years,Approximately 13 months,"Cease operation days, revenue recovery, customer retention, employee retention",Statistical Prediction,Bayesian linear regression,Cross-validation
2,Disaster recovery and business continuity after the 2010 flood in Pakistan: Case of small businesses. https://doi.org/10.1016/j.ijdrr.2012.08.001,Explore the impacts of the 2010 flood on small businesses,"Trade, Services, Manufacturing",Flood,Yes,Multiple Time Points,Up to 6 months,"Re-opening status, time to re-open, current economic performance",Survey,Survey of 500 small businesses,Pilot Testing
3,Accounting for Business Adaptations in Economic Disruption Models. https://doi.org/10.1061/(ASCE)IS.1943-555X.0000470,Develop an empirically derived business behaviors model (BBM),Industry,Earthquake,Yes,2 - 3 years,2.5 years,Operability,Survey,"Survey of 541 organizations, factor analysis, regression analysis",None described
4,Smote-Lasso Model of Business Recovery over Time: Case Study of the 2011 Tohoku Earthquake. https://doi.org/10.1061/(ASCE)NH.1527-6996.0000493,Introduce a methodology to identify business characteristics correlated with recovery,"Manufacturing, Construction, Contracting, Services, Wholesale, Retail, Finance, Insurance, Real Estate",Earthquake,Yes,< 1 year,6 months,Time to recovery,Survey,"Survey of 930 businesses, Smote-Lasso statistical techniques",Cross-validation
5,"Agricultural impact assessment and management after three widespread tephra falls in Patagonia, South America. https://doi.org/10.1007/s11069-016-2240-1",Evaluate the impacts of tephra falls on agricultural systems,Farm,Volcanic Eruptions,Yes,Multiple Time Points,"16 years, 9 months, and 3 years",Performance-based damage state scale,"Field Observations, Interviews","Field observations, interviews with farmers and agricultural agencies",Cross-validation
6,Rebounding from disruptive events: Business recovery following the Northridge earthquake. https://doi.org/10.1080/02732173.1998.9982189,Explore the determinants of business recovery,"Wholesale, Retail, Manufacturing, Construction, Services",Earthquake,Yes,1 - 2 years,1.5 years,Self-reported recovery status,Survey,"Survey of 1,110 businesses, logistic regression",Cross-validation
7,Smaller businesses and the Christchurch earthquakes: A longitudinal study of individual and organizational resilience. https://doi.org/10.1016/j.ijdrr.2021.102125,Explore the nature of small businesses' resilience,"Small Businesses including, Retail, Wholesale, Services",Earthquake,Yes,7 years,7 years,"Annual sales data, recovery outcomes",Interviews,Semi-structured interviews with 52 business owners,None described
8,Enhancing resilience: Understanding the impact of flood hazard and vulnerability on business interruption and losses. https://doi.org/10.1016/j.wre.2024.100244,Understand the impact of flood hazard and vulnerability on business interruption,Various,Flood,Yes,Multiple Time Points,6 to 8 months,"Business interruption duration, revenue loss ratio",Survey,"Survey of 215 businesses, multivariate regression analysis",None described
9,"Adaptive resilience of Asian American, Native Hawaiian and Pacific Islander businesses in the face of COVID-19 and complex events. https://doi.org/10.1016/j.ijdrr.2024.105118",Understand the impacts of complex events on small and medium-sized businesses,"SMEs including, businesses operated by Asian American; Native Hawaiian; and Pacific Islander community","Hurricane, Wildfire, Pandemic",No,Single data collection between July and October 2022,Single data collection between July and October 2022,"Perceived time to full recovery, adaptive strategies and resilience","Survey, Interviews",Online surveys and follow-up interviews,None described
10,Business recovery in Aceh and North Sumatra following the Indian Ocean Tsunami. https://doi.org/10.1016/j.ijdrr.2022.102868,Investigate the impact of the 2004 Indian Ocean tsunami on household business assets,"Various including, Farm and Non-Farm",Tsunami,Yes,2 years,2 years,"Business continuity, asset accumulation, business diversity",Survey,Survey of heads of 2879 household businesses,"Pilot Testing, Use of pre-existing survey questions"
11,Spillover effects of built-environment vulnerability on resilience of businesses in urban crises. https://doi.org/10.1016/j.scs.2025.106376,Investigate the spillover effects of residential built-environment vulnerability,"Essential Businesses including, grocery stores and healthcare stores",Hurricane,Yes,Multiple Time Points,2 weeks before and 9 weeks after the hurricane,Human mobility data as a proxy for business activity,"Mobility Data, Property Damage Records","Location-based mobility data, property damage records, distance-weighted property damage metric",None described
12,Post-Disaster Business Recovery and Sustainable Development: A Study of 2008 Wenchuan Earthquake. https://doi.org/10.3390/su10030651,Investigate the recovery of small businesses after the 2008 Wenchuan earthquake,"Small Businesses including, Specialty Stores, Catering Services, Garment Stores, Others",Earthquake,Yes,4 years,4 years,"Operating rate, sustainable operating rate, rate of sustainable operating numbers","Field Observations, Photography, Interviews","Field observations, repeat photography, semi-structured interviews",None described
